天数,武汉感染人数,全国感染人数,疑似人数,死亡人数,治愈人数,现存感染人数
1,27,27,0,0,0,27
2,41,41,0,0,0,41
3,45,45,0,2,15,28
4,62,62,0,2,19,41
5,121,121,0,3,24,94
6,198,198,0,3,25,170
7,258,291,54,6,25,260
8,363,440,37,9,25,406
9,425,571,393,17,25,529
10,495,830,1072,25,34,771
11,572,1287,1965,41,38,1208
12,618,1975,2684,56,49,1870
13,698,2744,5794,80,51,2613
14,1590,4515,6973,106,60,4349
15,1905,5974,9239,132,103,5739
16,2261,7711,12167,170,124,7417
17,2639,9692,15238,213,171,9308
18,3215,11791,17988,259,243,11289
19,4109,14380,19544,304,328,13748
20,5142,17205,21588,361,475,16369
21,6384,20438,23214,425,632,19381
22,8351,24324,23260,490,892,22942
#23,10117,28018,24702,563,1153,26302
#24,11618,31161,26359,636,1540,28985
#25,13603,34546,27657,722,2050,31774
#26,14982,37198,28942,811,2649,33738
#27,16902,40171,23589,908,3281,35982
#28,18454,42638,21675,1016,3996,37626
#29,19558,44653,16067,1113,4740,38800
30,32994,59804,13435,1259,5911,52634
31,35991,63851,10109,1380,6723,55748
32,37914,66492,8969,1523,8096,56873
33,39462,68500,8288,1665,9419,57416
34,41152,70548,7264,1770,10844,57934
35,42752,72436,6242,1868,12552,58016